Order ID,Client,Sales Rep,Service,Amount,Date,Status
1062,"Adams, Zuniga And Wong",Chinedu Okafor,Cloud Hosting,219972.0,2026-03-01,Cancelled
1007,"Adams, Zuniga And Wong",Femi Adeyemi,IT Support Retainer,49191.0,2026-01-29,Pending
1036,"Flowers, Martin And Kelly",Ibrahim Sule,Backup Service,221511.0,2026-04-29,Paid
1006,Doyle Ltd,Ada Bello,IT Support Retainer,222089.0,2026-04-28,Overdue
1140,Arnold Ltd,Chinedu Okafor,IT Support Retainer,64600.0,2026-04-16,Overdue
1053,Galloway-Wyatt,Grace Nwosu,Network Setup,44317.0,2026-03-15,Overdue
1081,"Gardner, Robinson And Lawrence",Ibrahim Sule,Consulting,59289.0,2026-01-21,Paid
1021,"Hoffman, Baker And Richards",Ada Bello,Cloud Hosting,43029.0,2026-09-03,Unknown
1045,Morales-Jones,Ibrahim Sule,Backup Service,64050.0,2026-05-15,Pending
1065,"Walter, Edwards And Rios",Femi Adeyemi,IT Support Retainer,224189.0,2026-02-05,Pending
1060,Garcia-James,Chinedu Okafor,Cloud Hosting,302371.0,2026-07-03,Overdue
1092,"Gardner, Robinson And Lawrence",Grace Nwosu,IT Support Retainer,58632.0,2026-05-10,Pending
1119,"Reid, Ferguson And Sanchez",Ibrahim Sule,Network Setup,154056.0,2026-05-10,Pending
1047,Doyle Ltd,Ada Bello,Cloud Hosting,47726.0,2026-02-08,Cancelled
1023,Dudley Group,Ada Bello,Network Setup,219266.0,2026-11-02,Cancelled
1073,Wilkerson-Day,Ada Bello,IT Support Retainer,304458.0,2026-02-14,Paid
1033,"Henderson, Ramirez And Lewis",Ibrahim Sule,Server Maintenance,118634.0,2026-03-27,Pending
1113,Gray-Mayo,Femi Adeyemi,Server Maintenance,86715.0,2026-01-16,Pending
1082,Blake And Sons,Grace Nwosu,Cloud Hosting,,2026-12-01,Overdue
1115,Arnold Ltd,Chinedu Okafor,Network Setup,299305.0,2026-05-08,Overdue
1121,"Reid, Ferguson And Sanchez",Kemi Afolabi,IT Support Retainer,58155.0,2026-04-16,Paid
1123,Wilkerson-Day,Chinedu Okafor,IT Support Retainer,84842.0,2026-03-15,Overdue
1074,Galloway-Wyatt,Ibrahim Sule,Cloud Hosting,63038.0,2026-06-18,Cancelled
1067,Wilkerson-Day,Ada Bello,Server Maintenance,299848.0,2026-04-12,Paid
1104,Dudley Group,Femi Adeyemi,Consulting,224483.0,2026-06-13,Cancelled
1015,"Flowers, Martin And Kelly",Chinedu Okafor,IT Support Retainer,119751.0,2026-02-12,Cancelled
1026,Garcia-James,Femi Adeyemi,Backup Service,,2026-05-28,Overdue
1111,"Henderson, Ramirez And Lewis",Femi Adeyemi,Cloud Hosting,222512.0,2026-06-07,Overdue
1098,"Mcclure, Ward And Lee",Femi Adeyemi,Cloud Hosting,148134.0,2026-03-07,Cancelled
1128,Abbott-Munoz,Ibrahim Sule,Server Maintenance,,2026-07-07,Pending
1016,Abbott-Munoz,Ibrahim Sule,Backup Service,60430.0,2026-07-08,Cancelled
1040,"Walter, Edwards And Rios",Ada Bello,Consulting,151509.0,2026-06-15,Paid
1001,Gray-Mayo,Chinedu Okafor,IT Support Retainer,224067.0,2026-04-19,Unknown
1095,Gray-Mayo,Ada Bello,Backup Service,49251.0,2026-04-26,Paid
1108,"Watts, Robinson And Nguyen",Ibrahim Sule,Network Setup,223812.0,2026-03-04,Overdue
1076,"Reid, Ferguson And Sanchez",Ibrahim Sule,Server Maintenance,303363.0,2026-04-07,Paid
1137,"Walter, Edwards And Rios",Grace Nwosu,Consulting,,2026-01-09,Paid
1071,"Watts, Robinson And Nguyen",Kemi Afolabi,Network Setup,84554.0,2026-04-27,Unknown
1101,Perez Inc,Femi Adeyemi,IT Support Retainer,45585.0,2026-05-20,Paid
1134,Morales-Jones,Ada Bello,Backup Service,46470.0,2026-01-16,Pending
1127,"Henderson, Ramirez And Lewis",Ada Bello,IT Support Retainer,49850.0,2026-03-16,Cancelled
1009,Morales-Jones,Chinedu Okafor,Consulting,303234.0,2026-06-04,Unknown
1109,"Rodriguez, Figueroa And Sanchez",Grace Nwosu,Consulting,45533.0,2026-05-03,Pending
1014,Blair Plc,Chinedu Okafor,IT Support Retainer,119503.0,2026-01-20,Cancelled
1086,James Group,Femi Adeyemi,Network Setup,44199.0,2026-02-09,Pending
1116,"Henderson, Ramirez And Lewis",Ada Bello,Network Setup,303359.0,2026-01-03,Cancelled
1088,Williams And Sons,Femi Adeyemi,Cloud Hosting,122754.0,2026-01-11,Paid
1001,Gray-Mayo,Chinedu Okafor,IT Support Retainer,224067.0,2026-04-19,Pending
1075,Arnold Ltd,Kemi Afolabi,Server Maintenance,87983.0,2026-02-02,Paid
1072,Wilkerson-Day,Ibrahim Sule,IT Support Retainer,149769.0,2026-02-07,Paid
1004,"Adams, Zuniga And Wong",Kemi Afolabi,IT Support Retainer,299907.0,2026-04-27,Overdue
1126,Davis And Sons,Chinedu Okafor,IT Support Retainer,121911.0,2026-03-15,Cancelled
1079,Blake And Sons,Ada Bello,Network Setup,300282.0,2026-05-24,Unknown
1124,Wilkerson-Day,Ibrahim Sule,Backup Service,300827.0,2026-03-16,Cancelled
1106,"Walter, Edwards And Rios",Femi Adeyemi,Server Maintenance,85044.0,2026-02-17,Overdue
1093,"Guzman, Hoffman And Baldwin",Ibrahim Sule,IT Support Retainer,120984.0,2026-04-24,Cancelled
1052,"Henderson, Ramirez And Lewis",Ibrahim Sule,Consulting,148329.0,2026-05-13,Paid
1011,"Flowers, Martin And Kelly",Ibrahim Sule,Server Maintenance,220553.0,2026-04-06,Pending
1069,Perez Inc,Chinedu Okafor,Cloud Hosting,118951.0,2026-05-18,Paid
1032,Wilkerson-Day,Ibrahim Sule,Consulting,154676.0,2026-05-21,Overdue
1096,Dudley Group,Grace Nwosu,Consulting,118668.0,2026-01-26,Overdue
1008,Arnold Ltd,Femi Adeyemi,Consulting,,2026-03-29,Paid
1136,James Group,Ada Bello,Cloud Hosting,223890.0,2026-02-28,Overdue
1099,"Gardner, Robinson And Lawrence",Ada Bello,Cloud Hosting,301851.0,2026-04-10,Paid
1020,Wilkerson-Day,Ibrahim Sule,Network Setup,83945.0,2026-02-09,Paid
1054,Blair Plc,Ibrahim Sule,Cloud Hosting,44536.0,2026-05-08,Cancelled
1063,Williams And Sons,Chinedu Okafor,Cloud Hosting,150450.0,2026-03-06,Cancelled
1058,"Walter, Edwards And Rios",Femi Adeyemi,IT Support Retainer,64353.0,2026-05-02,Pending
1031,Arnold Ltd,Kemi Afolabi,Backup Service,301482.0,2026-06-28,Paid
1100,Morales-Jones,Ibrahim Sule,Backup Service,45886.0,2026-02-14,Overdue
1105,"Guzman, Hoffman And Baldwin",Grace Nwosu,Cloud Hosting,64377.0,2026-05-26,Pending
1114,Blair Plc,Femi Adeyemi,Server Maintenance,152601.0,2026-03-03,Pending
1083,Blake And Sons,Femi Adeyemi,Network Setup,124119.0,2026-05-17,Paid
1103,Wilkerson-Day,Grace Nwosu,Consulting,83840.0,2026-06-19,Pending
1028,"Watts, Robinson And Nguyen",Femi Adeyemi,Consulting,123447.0,2026-02-14,Pending
1039,Davis And Sons,Femi Adeyemi,Cloud Hosting,153548.0,2026-03-07,Paid
1024,"Mcclure, Ward And Lee",Chinedu Okafor,Network Setup,118317.0,2026-04-28,Unknown
1018,"Adams, Zuniga And Wong",Chinedu Okafor,Backup Service,86242.0,2026-06-15,Unknown
1035,Dudley Group,Grace Nwosu,Consulting,60235.0,2026-03-28,Pending
1077,Arnold Ltd,Grace Nwosu,Network Setup,63626.0,2026-01-22,Overdue
1070,"Flowers, Martin And Kelly",Chinedu Okafor,Server Maintenance,151343.0,2026-06-26,Paid
1107,Perez Inc,Femi Adeyemi,Backup Service,44111.0,2026-07-02,Cancelled
1097,Perez Inc,Grace Nwosu,Server Maintenance,45096.0,2026-07-06,Paid
1002,Blake And Sons,Grace Nwosu,IT Support Retainer,89630.0,2026-02-10,Cancelled
1130,Garcia-James,Femi Adeyemi,Network Setup,222693.0,2026-06-17,Overdue
1027,"Flowers, Martin And Kelly",Kemi Afolabi,Backup Service,118573.0,2026-06-09,Pending
1068,Dudley Group,Ibrahim Sule,Server Maintenance,219915.0,2026-05-24,Overdue
