Order ID,Client,Sales Rep,Service,Amount,Date,Status
1062,"Adams, Zuniga and Wong",Chinedu Okafor,Cloud Hosting,219972,1-Mar-26,Cancelled 
1007,"Adams, Zuniga and Wong",Femi Adeyemi,IT Support Retainer,"NGN 49,191",29/01/2026, Pending
1036,"FLOWERS, MARTIN AND KELLY",Ibrahim Sule,Backup Service,"NGN 221,511",29/04/2026,Paid
1006,Doyle Ltd,Ada Bello,IT Support Retainer,222089,28/04/2026,Overdue
1140,Arnold Ltd,Chinedu Okafor,IT Support Retainer,64600,16-Apr-26,OVERDUE
1053,Galloway-Wyatt,Grace Nwosu,Network Setup,44317,15-Mar-26,OVERDUE
1081,"Gardner, Robinson and Lawrence",Ibrahim Sule,Consulting,59289,1/21/2026,Paid
1021,"Hoffman, Baker and Richards",Ada Bello,Cloud Hosting,43029,9/3/2026,
1045,Morales-Jones,Ibrahim Sule,Backup Service,64050,5/15/2026,pending
1065,"Walter, Edwards and Rios",Femi Adeyemi,IT Support Retainer,224189,2/5/2026,Pendng
1060,Garcia-James,,Cloud Hosting,302371,3-Jul-26,OVERDUE
1092,"Gardner, Robinson and Lawrence",Grace Nwosu,IT Support Retainer,58632,5/10/2026,pending
1119,"Reid, Ferguson and Sanchez",Ibrahim Sule,Network Setup,154056,10-May-26, Pending
1047,Doyle Ltd,Ada Bello,Cloud Hosting,47726,2/8/2026,canceled
1023,Dudley Group,,Network Setup,219266,11/2/2026,Cancelled 
1073,Wilkerson-Day,Ada Bello,IT Support Retainer,304458,2/14/2026,PAID
1033,"Henderson, Ramirez and Lewis",Ibrahim Sule,Server Maintenance,118634,3/27/2026,Pendng
1113,Gray-Mayo,Femi Adeyemi,Server Maintenance,"NGN 86,715",16/01/2026, Pending
1082,Blake and Sons,Grace Nwosu,Cloud Hosting,,12/1/2026,OVERDUE
1115,Arnold Ltd,Chinedu Okafor,Network Setup,299305,5/8/2026,Overdue
1121,"Reid, Ferguson and Sanchez",Kemi Afolabi,IT Support Retainer,58155,16/04/2026,Paid
1123,Wilkerson-Day,Chinedu Okafor,IT Support Retainer,84842,15/03/2026,OVERDUE
1074,Galloway-Wyatt,Ibrahim Sule,Cloud Hosting,"NGN 63,038",6/18/2026,Cancelled 
1067,Wilkerson-Day,Ada Bello,Server Maintenance,299848,4/12/2026,paid
1104,Dudley Group,Femi Adeyemi,Consulting,224483,13-Jun-26,canceled
1015,"Flowers, Martin and Kelly",Chinedu Okafor,IT Support Retainer,119751,12-Feb-26,canceled
1026,GARCIA-JAMES,Femi Adeyemi,Backup Service,,28/05/2026,overdue
1111,"Henderson, Ramirez and Lewis",Femi Adeyemi,Cloud Hosting,222512,6/7/2026,Overdue
1098,"Mcclure, Ward and Lee",,Cloud Hosting,148134,3/7/2026,Cancelled 
1128,Abbott-Munoz,Ibrahim Sule,Server Maintenance,,7-Jul-26, Pending
1016,Abbott-Munoz,,Backup Service,60430,7/8/2026,Cancelled
1040,"Walter, Edwards and Rios",Ada Bello,Consulting,151509,6/15/2026,PAID
1001,GRAY-MAYO,Chinedu Okafor,IT Support Retainer,224067,4/19/2026,
1095,Gray-Mayo,Ada Bello,Backup Service,"NGN 49,251",26/04/2026,PAID
1108,"  Watts, Robinson and Nguyen  ",Ibrahim Sule,Network Setup,223812,3/4/2026,Overdue
1076,"Reid, Ferguson and Sanchez",Ibrahim Sule,Server Maintenance,303363,4/7/2026,Paid
1137,"WALTER, EDWARDS AND RIOS",Grace Nwosu,Consulting,,9-Jan-26,paid
1071,"Watts, Robinson and Nguyen",Kemi Afolabi,Network Setup,84554,4/27/2026,
1101,Perez Inc,Femi Adeyemi,IT Support Retainer,45585,20-May-26,paid
1134,MORALES-JONES,Ada Bello,Backup Service,46470,1/16/2026,Pending
1127,"Henderson, Ramirez and Lewis",Ada Bello,IT Support Retainer,49850,3/16/2026,Cancelled
1009,Morales-Jones,Chinedu Okafor,Consulting,303234,6/4/2026,
1109,"Rodriguez, Figueroa and Sanchez",Grace Nwosu,Consulting,45533,3-May-26,Pending
1014,Blair PLC,Chinedu Okafor,IT Support Retainer,119503,20-Jan-26,Cancelled
1086,James Group,Femi Adeyemi,Network Setup,44199,2/9/2026,pending
1116,"Henderson, Ramirez and Lewis",Ada Bello,Network Setup,303359,1/3/2026,Cancelled 
1088,  Williams and Sons  ,Femi Adeyemi,Cloud Hosting,122754,11-Jan-26,Paid 
1001,GRAY-MAYO,Chinedu Okafor,IT Support Retainer,224067,4/19/2026,Pending
1075,Arnold Ltd,Kemi Afolabi,Server Maintenance,"NGN 87,983",2/2/2026,Paid
1072,Wilkerson-Day,Ibrahim Sule,IT Support Retainer,149769,2/7/2026,paid
1004,"  Adams, Zuniga and Wong  ",Kemi Afolabi,IT Support Retainer,299907,4/27/2026,Overdue
1126,Davis and Sons,,IT Support Retainer,121911,3/15/2026,Cancelled 
1079,Blake and Sons,Ada Bello,Network Setup,300282,5/24/2026,
1124,Wilkerson-Day,Ibrahim Sule,Backup Service,300827,3/16/2026,canceled
1106,"WALTER, EDWARDS AND RIOS",Femi Adeyemi,Server Maintenance,85044,17-Feb-26,OVERDUE
1093,"Guzman, Hoffman and Baldwin",Ibrahim Sule,IT Support Retainer,120984,4/24/2026,Cancelled
1052,"Henderson, Ramirez and Lewis",Ibrahim Sule,Consulting,148329,13-May-26,PAID
1011,"Flowers, Martin and Kelly",Ibrahim Sule,Server Maintenance,220553,6-Apr-26,pending
1069,Perez Inc,Chinedu Okafor,Cloud Hosting,"NGN 118,951",18/05/2026,PAID
1032,Wilkerson-Day,Ibrahim Sule,Consulting,154676,21-May-26,overdue
1096,Dudley Group,Grace Nwosu,Consulting,118668,1/26/2026,Overdue
1008,Arnold Ltd,Femi Adeyemi,Consulting,,3/29/2026,Paid
1136,JAMES GROUP,Ada Bello,Cloud Hosting,223890,28/02/2026,overdue
1099,"  Gardner, Robinson and Lawrence  ",,Cloud Hosting,"NGN 301,851",4/10/2026,Paid 
1020,  Wilkerson-Day  ,Ibrahim Sule,Network Setup,83945,2/9/2026,paid
1054,BLAIR PLC,Ibrahim Sule,Cloud Hosting,44536,8-May-26,canceled
1063,Williams and Sons,Chinedu Okafor,Cloud Hosting,150450,6-Mar-26,canceled
1058,"Walter, Edwards and Rios",Femi Adeyemi,IT Support Retainer,64353,2-May-26, Pending
1031,Arnold Ltd,Kemi Afolabi,Backup Service,301482,28-Jun-26,Paid
1040,"Walter, Edwards and Rios",Ada Bello,Consulting,151509,6/15/2026,PAID
1100,Morales-Jones,Ibrahim Sule,Backup Service,45886,14-Feb-26,Overdue
1105,"Guzman, Hoffman and Baldwin",Grace Nwosu,Cloud Hosting,64377,5/26/2026,Pending
1114,Blair PLC,Femi Adeyemi,Server Maintenance,"NGN 152,601",3-Mar-26,Pendng
1083,Blake and Sons,Femi Adeyemi,Network Setup,124119,17/05/2026,Paid
1103,WILKERSON-DAY,Grace Nwosu,Consulting,"NGN 83,840",6/19/2026,Pendng
1028,"Watts, Robinson and Nguyen",Femi Adeyemi,Consulting,123447,2/14/2026,pending
1039,Davis and Sons,Femi Adeyemi,Cloud Hosting,153548,3/7/2026,PAID
1024,"Mcclure, Ward and Lee",Chinedu Okafor,Network Setup,118317,4/28/2026,
1018,"Adams, Zuniga and Wong",Chinedu Okafor,Backup Service,"NGN 86,242",6/15/2026,
1035,Dudley Group,Grace Nwosu,Consulting,60235,28-Mar-26, Pending
1127,"Henderson, Ramirez and Lewis",Ada Bello,IT Support Retainer,49850,3/16/2026,Cancelled
1077,  Arnold Ltd  ,Grace Nwosu,Network Setup,63626,1/22/2026,overdue
1070,"Flowers, Martin and Kelly",Chinedu Okafor,Server Maintenance,151343,6/26/2026,Paid 
1107,Perez Inc,Femi Adeyemi,Backup Service,44111,2-Jul-26,Cancelled
1097,Perez Inc,Grace Nwosu,Server Maintenance,45096,6-Jul-26,Paid
1002,Blake and Sons,Grace Nwosu,IT Support Retainer,89630,10-Feb-26,Cancelled 
1130,Garcia-James,,Network Setup,"NGN 222,693",6/17/2026,OVERDUE
1027,"Flowers, Martin and Kelly",Kemi Afolabi,Backup Service,118573,6/9/2026,Pendng
1068,Dudley Group,Ibrahim Sule,Server Maintenance,219915,5/24/2026,Overdue
1005,"Watts, Robinson and Nguyen",Chinedu Okafor,Consulting,121108,26/06/2026,pending
1048,"Reid, Ferguson and Sanchez",Ibrahim Sule,Server Maintenance,87821,6/8/2026,canceled
1120,"WATTS, ROBINSON AND NGUYEN",Femi Adeyemi,Backup Service,88370,28/05/2026,Paid 
1043,"Reid, Ferguson and Sanchez",Ada Bello,Consulting,63898,3-Mar-26,Pending
1139,"  Mcclure, Ward and Lee  ",Ibrahim Sule,Backup Service,"NGN 152,060",30-Mar-26, Pending
1037,"Walter, Edwards and Rios",Grace Nwosu,Network Setup,49136,31/03/2026,Paid 
1056,Gray-Mayo,Kemi Afolabi,Network Setup,301952,22/05/2026,overdue
1087,"Walter, Edwards and Rios",Ibrahim Sule,Backup Service,84236,6/11/2026,OVERDUE
1012,"Rodriguez, Figueroa and Sanchez",Chinedu Okafor,Cloud Hosting,58552,19/01/2026,Paid
1102,"WALTER, EDWARDS AND RIOS",Femi Adeyemi,Cloud Hosting,124089,28/03/2026,overdue
1059,Galloway-Wyatt,Ibrahim Sule,Network Setup,47308,6-Feb-26,Paid 
1061,Abbott-Munoz,Grace Nwosu,Cloud Hosting,63685,3/25/2026,Paid 
1042,"  Henderson, Ramirez and Lewis  ",Grace Nwosu,IT Support Retainer,153473,25/03/2026,Cancelled 
1031,Arnold Ltd,Kemi Afolabi,Backup Service,301482,28-Jun-26,Paid
1036,"FLOWERS, MARTIN AND KELLY",Ibrahim Sule,Backup Service,"NGN 221,511",29/04/2026,Paid
1041,Dudley Group,Kemi Afolabi,IT Support Retainer,222274,18-May-26,Cancelled
1078,Doyle Ltd,Femi Adeyemi,Backup Service,88450,7/4/2026,Paid 
1133,"Gardner, Robinson and Lawrence",,Backup Service,47180,3-Feb-26, Pending
1055,Williams and Sons,Ada Bello,Backup Service,"NGN 87,512",4/15/2026,pending
1122,Morales-Jones,Ibrahim Sule,IT Support Retainer,122304,4/28/2026,OVERDUE
1034,"  Guzman, Hoffman and Baldwin  ",Grace Nwosu,Network Setup,44694,5/30/2026,
1094,Wilkerson-Day,Chinedu Okafor,Network Setup,300308,18/04/2026,canceled
1038,"  Henderson, Ramirez and Lewis  ",Chinedu Okafor,IT Support Retainer,218937,6/29/2026, Pending
1066,"Adams, Zuniga and Wong",Femi Adeyemi,Network Setup,59082,4/4/2026,Cancelled
1029,Wilkerson-Day,Grace Nwosu,Server Maintenance,62187,8/7/2026,Cancelled 
1046,ABBOTT-MUNOZ,Femi Adeyemi,Cloud Hosting,219034,1/27/2026,PAID
1025,Blake and Sons,Ada Bello,Network Setup,151274,3/26/2026,OVERDUE
1085,Williams and Sons,Ada Bello,Server Maintenance,122824,3/21/2026,paid
1125,Garcia-James,,Network Setup,48043,13/01/2026,Overdue
1084,"Hoffman, Baker and Richards",Grace Nwosu,Cloud Hosting,122697,3/16/2026,OVERDUE
1030,"Mcclain, Miller and Henderson",Kemi Afolabi,Network Setup,"NGN 58,200",5/2/2026,pending
1112,"Watts, Robinson and Nguyen",Femi Adeyemi,Consulting,43372,9/3/2026,Paid
1057,"HOFFMAN, BAKER AND RICHARDS",Grace Nwosu,Network Setup,88947,18-Jun-26,Overdue
1132,Galloway-Wyatt,Chinedu Okafor,IT Support Retainer,153765,1/29/2026,Paid 
1090,"Watts, Robinson and Nguyen",Kemi Afolabi,Network Setup,47570,5/7/2026,PAID
1015,"Flowers, Martin and Kelly",Chinedu Okafor,IT Support Retainer,119751,12-Feb-26,canceled
1138,Arnold Ltd,Ada Bello,IT Support Retainer,303992,6/22/2026,Overdue
1118,Davis and Sons,Femi Adeyemi,Consulting,62935,1/12/2026,Overdue
1129,Abbott-Munoz,Chinedu Okafor,Consulting,"NGN 150,686",6/21/2026,canceled
1050,"Watts, Robinson and Nguyen",Kemi Afolabi,Consulting,47461,10/3/2026, Pending
1003,"Mcclain, Miller and Henderson",Femi Adeyemi,Consulting,221763,4/7/2026,Overdue
1073,Wilkerson-Day,Ada Bello,IT Support Retainer,304458,2/14/2026,PAID
1080,Garcia-James,Femi Adeyemi,Network Setup,299173,2/6/2026,paid
1049,  Blake and Sons  ,Chinedu Okafor,IT Support Retainer,46346,3/16/2026,paid
1117,  DUDLEY GROUP  ,Ibrahim Sule,IT Support Retainer,83602,5/21/2026,OVERDUE
1051,"Adams, Zuniga and Wong",Grace Nwosu,Backup Service,120230,1/21/2026,
1135,"Guzman, Hoffman and Baldwin",Kemi Afolabi,Server Maintenance,121092,19/06/2026,overdue
1017,"  Hoffman, Baker and Richards  ",,Cloud Hosting,148556,31/01/2026,Pending
1010,Blair PLC,Femi Adeyemi,Network Setup,62647,5/5/2026,Pending
1091,Gray-Mayo,Ibrahim Sule,Backup Service,151085,2/2/2026,PAID
1064,"Henderson, Ramirez and Lewis",Femi Adeyemi,Backup Service,303392,6/25/2026,Overdue
1013,"Adams, Zuniga and Wong",Grace Nwosu,Server Maintenance,48398,4/30/2026,Pending
1044,"Henderson, Ramirez and Lewis",Kemi Afolabi,Consulting,152349,5/21/2026,overdue
1131,Arnold Ltd,Kemi Afolabi,Network Setup,88035,3/5/2026,PAID
1022,"Mcclain, Miller and Henderson",Chinedu Okafor,Consulting,"NGN 152,526",2/2/2026,PAID
1089,  James Group  ,Ada Bello,Network Setup,45029,15/05/2026,paid
1110,GRAY-MAYO,Ibrahim Sule,Network Setup,299057,1/15/2026,pending
1019,"Reid, Ferguson and Sanchez",Ada Bello,Consulting,60859,4/5/2026,Pendng
